id_tercero,tipo_sujeto,nombres,apellidos,fecha_nacimiento,nacionalidad,numero_documento,tipo_documento,pais_residencia,coincidencia
T0000014,PERSONA_NATURAL,MARIA ANA,RODRIGUEZ TORRES,1999-09-01,ESTADOUNIDENSE,51825985,CE,VENEZUELA,0
T0000015,PERSONA_JURIDICA,HERNANDEZ MARTINEZ COMERCIAL LTDA 9305,,,,184564737,NIT,VENEZUELA,0
T0000016,PERSONA_NATURAL,ANDRES JORGE,RODRIGUEZ RODRIGUEZ,1992-08-18,MEXICANA,1143170817,CE,ESPAÑA,0
T0000017,PERSONA_JURIDICA,TORRES MARTINEZ GROUP S.A. 6547,,,,821218382,NIT,USA,0
T0000018,PERSONA_NATURAL,JORGE LAURA,GOMEZ MARTINEZ,1964-02-11,COLOMBIANA,R4860684,PASAPORTE,PERU,0
T0000019,PERSONA_NATURAL,SARA DAVID,PEREZ MARTINEZ,1954-01-28,ESTADOUNIDENSE,1114141864,CC,PERU,0
T0000020,PERSONA_NATURAL,LAURA LUISA,TORRES RODRIGUEZ,1996-10-19,BRASILEÑA,1694957391,CC,BRASIL,0
T0000021,PERSONA_NATURAL,LUISA ANDRES,GOMEZ GARCIA,1972-07-14,BRASILEÑA,B2651177,PASAPORTE,COLOMBIA,0
T0000022,PERSONA_NATURAL,ANA ANDRES,MARTINEZ MARTINEZ,1962-09-15,MEXICANA,404037563,CE,ECUADOR,0
T0000023,PERSONA_NATURAL,ANDRES LAURA,TORRES GOMEZ,1953-11-18,COLOMBIANA,1999357940,CC,PERU,0
T0000024,PERSONA_NATURAL,LAURA LAURA,MARTINEZ GARCIA,1953-03-13,COLOMBIANA,579519230,CE,BRASIL,0
T0000025,PERSONA_NATURAL,SARA SARA,TORRES SANCHEZ,1959-04-10,PERUANA,1253780192,CC,ARGENTINA,0
T0000026,PERSONA_NATURAL,ANA JUAN,PEREZ RAMIREZ,1980-09-28,ARGENTINA,132147952,CC,ARGENTINA,0
T0000027,PERSONA_NATURAL,MARIA ANDRES,RAMIREZ GOMEZ,1993-04-13,VENEZOLANA,H1666754,PASAPORTE,VENEZUELA,0
T0000028,PERSONA_NATURAL,CAMILA CAMILA,TORRES LOPEZ,1966-04-22,ESTADOUNIDENSE,580402824,CC,ESPAÑA,0
T0000029,PERSONA_NATURAL,DAVID CARLOS,SANCHEZ LOPEZ,1998-02-01,BRASILEÑA,S2677407,PASAPORTE,VENEZUELA,0
T0000030,PERSONA_NATURAL,JORGE CARLOS,RODRIGUEZ LOPEZ,1954-04-12,ECUATORIANA,950994192,CC,ARGENTINA,0
T0000031,PERSONA_NATURAL,CAMILA DAVID,TORRES PEREZ,1992-09-10,VENEZOLANA,577936247,CC,VENEZUELA,0
T0000032,PERSONA_JURIDICA,TORRES RODRIGUEZ INVERSIONES S.A. 9919,,,,326161867,NIT,USA,0
T0000033,PERSONA_NATURAL,DAVID CARLOS,TORRES SANCHEZ,1966-01-03,ESPAÑOLA,104675606,CE,COLOMBIA,0
T0000034,PERSONA_NATURAL,MARIA DAVID,HERNANDEZ RODRIGUEZ,1997-08-18,ESPAÑOLA,A2876932,PASAPORTE,VENEZUELA,0
T0000035,PERSONA_JURIDICA,RODRIGUEZ TORRES COMERCIAL S.A. 9553,,,,693269304,NIT,MEXICO,0
T0000036,PERSONA_NATURAL,JUAN CARLOS,LOPEZ PEREZ,1972-04-22,PERUANA,D6933742,PASAPORTE,ARGENTINA,0
T0000037,PERSONA_JURIDICA,GARCIA RAMIREZ GROUP LTDA 3888,,,,274484941,NIT,MEXICO,0
T0000038,PERSONA_JURIDICA,PEREZ RODRIGUEZ GROUP S.A. 6755,,,,961393416,NIT,PERU,0
T0000039,PERSONA_NATURAL,SARA ANDRES,GARCIA PEREZ,2004-08-08,PERUANA,760885745,CE,ECUADOR,0
T0000040,PERSONA_NATURAL,LUISA LUISA,PEREZ MARTINEZ,1975-06-09,VENEZOLANA,764080568,CE,ARGENTINA,0
T0000041,PERSONA_NATURAL,JORGE ANA,PEREZ GOMEZ,1966-03-19,ECUATORIANA,242792702,CC,ESPAÑA,0
T0000042,PERSONA_NATURAL,ANA DANIEL,RAMIREZ TORRES,1957-07-19,PERUANA,105319349,CE,ESPAÑA,0
T0000043,PERSONA_NATURAL,JORGE DAVID,MARTINEZ LOPEZ,1977-02-22,ESTADOUNIDENSE,K3090865,PASAPORTE,ECUADOR,0
T0000044,PERSONA_NATURAL,DAVID DANIEL,LOPEZ GARCIA,1994-05-18,MEXICANA,912901631,CC,ESPAÑA,0
T0000045,PERSONA_NATURAL,MARIA CAMILA,RAMIREZ HERNANDEZ,1975-09-27,COLOMBIANA,626142518,CE,PERU,0
T0000046,PERSONA_NATURAL,CAMILA CAMILA,LOPEZ SANCHEZ,1978-08-22,PERUANA,P3846949,PASAPORTE,VENEZUELA,0
T0000047,PERSONA_NATURAL,DAVID DAVID,RAMIREZ LOPEZ,1955-04-22,ECUATORIANA,1742080635,CC,PERU,0
T0000048,PERSONA_NATURAL,JUAN LUISA,SANCHEZ RAMIREZ,2004-02-15,ESPAÑOLA,S4262081,PASAPORTE,ESPAÑA,0
T0000049,PERSONA_NATURAL,LUISA MARIA,PEREZ GOMEZ,1999-07-08,MEXICANA,Q8793853,PASAPORTE,COLOMBIA,0
T0000050,PERSONA_NATURAL,ANDRES LAURA,RODRIGUEZ SANCHEZ,1992-09-18,ESTADOUNIDENSE,1325660841,CE,ARGENTINA,0
T0000051,PERSONA_NATURAL,JORGE LAURA,RODRIGUEZ SANCHEZ,1978-05-25,PERUANA,I9745959,PASAPORTE,BRASIL,0
T0000052,PERSONA_NATURAL,CARLOS LAURA,GOMEZ HERNANDEZ,1965-05-11,ESTADOUNIDENSE,C3321531,PASAPORTE,MEXICO,0
T0000053,PERSONA_NATURAL,SARA MARIA,MARTINEZ GOMEZ,1976-07-11,ARGENTINA,902868375,CE,COLOMBIA,0
T0000054,PERSONA_NATURAL,DANIEL DANIEL,RAMIREZ PEREZ,2004-10-13,BRASILEÑA,765396286,CC,ECUADOR,0
T0000055,PERSONA_NATURAL,DANIEL JORGE,TORRES RAMIREZ,1964-08-08,ECUATORIANA,1052908255,CE,COLOMBIA,0
T0000056,PERSONA_NATURAL,DAVID DAVID,GARCIA RODRIGUEZ,2003-08-05,ARGENTINA,1957614909,CC,ESPAÑA,0
T0000057,PERSONA_NATURAL,DAVID JUAN,GOMEZ GARCIA,1958-08-06,COLOMBIANA,824119353,CE,USA,0
T0000058,PERSONA_NATURAL,ANA ANA,GARCIA HERNANDEZ,1998-07-09,VENEZOLANA,51625283,CE,ARGENTINA,0
T0000059,PERSONA_NATURAL,ANA LUISA,GOMEZ PEREZ,1998-01-08,PERUANA,1344308166,CC,MEXICO,0
T0000060,PERSONA_NATURAL,LAURA DAVID,GOMEZ RAMIREZ,1963-08-23,ECUATORIANA,370324443,CE,VENEZUELA,0
T0000061,PERSONA_NATURAL,MARIA CARLOS,GOMEZ RAMIREZ,1951-05-19,ESPAÑOLA,1545482384,CE,PERU,0
T0000062,PERSONA_NATURAL,SARA DAVID,MARTINEZ GOMEZ,1994-05-28,VENEZOLANA,Z1689025,PASAPORTE,USA,0
T0000063,PERSONA_NATURAL,DAVID ANA,GOMEZ TORRES,1991-06-01,ESPAÑOLA,236642993,CE,ESPAÑA,0
T0000064,PERSONA_JURIDICA,SANCHEZ RODRIGUEZ LOGISTICA LTDA 8558,,,,798423334,NIT,ECUADOR,0
T0000065,PERSONA_NATURAL,JORGE LAURA,SANCHEZ GARCIA,2002-12-19,ECUATORIANA,1839040080,CE,PERU,0
T0000066,PERSONA_NATURAL,ANDRES CARLOS,SANCHEZ MARTINEZ,1998-08-19,ESPAÑOLA,71632768,CE,BRASIL,0
T0000067,PERSONA_JURIDICA,RODRIGUEZ SANCHEZ SERVICIOS S.A. 4242,,,,465436049,NIT,ECUADOR,0
T0000068,PERSONA_JURIDICA,HERNANDEZ TORRES COMERCIAL S. EN C. 3140,,,,191926217,NIT,PERU,0
T0000069,PERSONA_NATURAL,LAURA JORGE,MARTINEZ SANCHEZ,1991-12-16,BRASILEÑA,209830551,CC,ECUADOR,0
T0000070,PERSONA_NATURAL,SARA LUISA,HERNANDEZ RAMIREZ,1973-08-18,ARGENTINA,923762478,CE,ARGENTINA,0
T0000071,PERSONA_NATURAL,SARA LAURA,HERNANDEZ HERNANDEZ,1966-04-04,PERUANA,266741854,CE,ARGENTINA,0
T0000072,PERSONA_JURIDICA,RODRIGUEZ MARTINEZ SERVICIOS CIA 7943,,,,396889215,NIT,ARGENTINA,0
T0000073,PERSONA_NATURAL,ANDRES LUISA,HERNANDEZ MARTINEZ,1973-03-10,COLOMBIANA,R3123709,PASAPORTE,ECUADOR,0
T0000074,PERSONA_NATURAL,JUAN JORGE,HERNANDEZ RODRIGUEZ,1990-08-04,COLOMBIANA,J8875173,PASAPORTE,BRASIL,0
T0000075,PERSONA_NATURAL,MARIA JUAN,HERNANDEZ SANCHEZ,1957-02-13,BRASILEÑA,1249143491,CC,COLOMBIA,0
T0000076,PERSONA_NATURAL,CAMILA CARLOS,GOMEZ MARTINEZ,1957-09-25,ESPAÑOLA,T4786401,PASAPORTE,ARGENTINA,0
T0000077,PERSONA_NATURAL,LAURA CARLOS,RAMIREZ GARCIA,1969-10-20,COLOMBIANA,X2664863,PASAPORTE,PERU,0
T0000078,PERSONA_NATURAL,CARLOS DAVID,GOMEZ RODRIGUEZ,1965-03-18,VENEZOLANA,15746077,CC,ESPAÑA,0
T0000079,PERSONA_NATURAL,CAMILA LAURA,HERNANDEZ PEREZ,1964-05-23,ECUATORIANA,O2194198,PASAPORTE,PERU,0
T0000080,PERSONA_JURIDICA,RAMIREZ MARTINEZ LOGISTICA SAS 8932,,,,341387305,NIT,MEXICO,0
T0000081,PERSONA_JURIDICA,RODRIGUEZ GOMEZ COMERCIAL LTDA 5049,,,,738923667,NIT,ECUADOR,0
T0000082,PERSONA_NATURAL,LAURA SARA,HERNANDEZ GARCIA,1967-09-18,BRASILEÑA,182747564,CE,COLOMBIA,0
T0000083,PERSONA_JURIDICA,LOPEZ RAMIREZ INVERSIONES SAS 1506,,,,345805719,NIT,COLOMBIA,0
T0000084,PERSONA_JURIDICA,HERNANDEZ RAMIREZ COMERCIAL LTDA 7718,,,,657233178,NIT,BRASIL,0
T0000085,PERSONA_JURIDICA,RODRIGUEZ RAMIREZ LOGISTICA CIA 8066,,,,197970787,NIT,BRASIL,0
T0000086,PERSONA_NATURAL,ANA ANA,GOMEZ RODRIGUEZ,1971-07-23,BRASILEÑA,1432887308,CE,ESPAÑA,0
T0000087,PERSONA_NATURAL,JORGE JUAN,SANCHEZ GOMEZ,1970-05-11,VENEZOLANA,1867381340,CE,ARGENTINA,0
T0000088,PERSONA_NATURAL,JUAN DAVID,TORRES SANCHEZ,1976-01-07,ARGENTINA,1347096054,CE,BRASIL,0
T0000089,PERSONA_NATURAL,JUAN LUISA,HERNANDEZ TORRES,1958-05-15,BRASILEÑA,71996648,CC,PERU,0
T0000090,PERSONA_NATURAL,CARLOS JORGE,PEREZ TORRES,1976-02-08,VENEZOLANA,262256625,CE,MEXICO,0
T0000091,PERSONA_NATURAL,SARA CARLOS,TORRES HERNANDEZ,1976-08-16,PERUANA,1193832736,CE,MEXICO,0
T0000092,PERSONA_NATURAL,CAMILA JORGE,RODRIGUEZ GOMEZ,1967-07-11,ARGENTINA,1772116584,CE,COLOMBIA,0
T0000093,PERSONA_NATURAL,CARLOS CAMILA,RAMIREZ SANCHEZ,2005-03-15,ARGENTINA,751148029,CE,USA,0
T0000094,PERSONA_NATURAL,JORGE DANIEL,SANCHEZ LOPEZ,2005-04-23,PERUANA,M4918527,PASAPORTE,ESPAÑA,0
T0000095,PERSONA_NATURAL,SARA LAURA,GARCIA GARCIA,1992-11-05,BRASILEÑA,281111799,CC,ARGENTINA,0
T0000096,PERSONA_JURIDICA,LOPEZ GOMEZ TRADING S.A.S. 1643,,,,664735673,NIT,BRASIL,0
T0000097,PERSONA_NATURAL,MARIA DANIEL,RODRIGUEZ GOMEZ,1980-05-11,ESPAÑOLA,C6512415,PASAPORTE,ARGENTINA,0
T0000098,PERSONA_NATURAL,ANA DAVID,SANCHEZ TORRES,1952-10-03,PERUANA,V5821419,PASAPORTE,PERU,0
T0000099,PERSONA_NATURAL,DANIEL ANDRES,GOMEZ SANCHEZ,1960-12-10,COLOMBIANA,706589295,CC,COLOMBIA,0
T0000100,PERSONA_NATURAL,ANA DANIEL,RODRIGUEZ MARTINEZ,1983-07-19,MEXICANA,385958581,CC,VENEZUELA,0
T0000101,PERSONA_NATURAL,DANIEL CAMILA,MARTINEZ SANCHEZ,1987-03-08,BRASILEÑA,I8710313,PASAPORTE,ECUADOR,0
T0000102,PERSONA_NATURAL,LAURA CARLOS,TORRES RODRIGUEZ,1954-08-12,ECUATORIANA,N5195951,PASAPORTE,BRASIL,0
T0000103,PERSONA_NATURAL,LUISA DANIEL,SANCHEZ GOMEZ,1965-07-19,ESTADOUNIDENSE,J5953150,PASAPORTE,COLOMBIA,0
T0000104,PERSONA_JURIDICA,GARCIA HERNANDEZ COMERCIAL S. EN C. 813,,,,751124015,NIT,BRASIL,0
T0000105,PERSONA_NATURAL,CARLOS LUISA,RAMIREZ LOPEZ,1964-11-07,ECUATORIANA,Y3294774,PASAPORTE,VENEZUELA,0
T0000106,PERSONA_JURIDICA,PEREZ HERNANDEZ TRADING S.A.S. 556,,,,722312633,NIT,USA,0
T0000107,PERSONA_NATURAL,ANDRES CARLOS,LOPEZ GARCIA,1961-04-05,ARGENTINA,1149996799,CE,ARGENTINA,0
T0000108,PERSONA_JURIDICA,RODRIGUEZ HERNANDEZ TRADING S.A.S. 4845,,,,901611993,NIT,USA,0
T0000109,PERSONA_NATURAL,LAURA ANDRES,RODRIGUEZ MARTINEZ,2005-11-24,ESPAÑOLA,L2515030,PASAPORTE,ESPAÑA,0
T0000110,PERSONA_NATURAL,JORGE ANDRES,SANCHEZ LOPEZ,1993-12-22,ECUATORIANA,M7232293,PASAPORTE,VENEZUELA,0
T0000111,PERSONA_NATURAL,LAURA JUAN,RAMIREZ TORRES,1970-10-08,VENEZOLANA,O6069909,PASAPORTE,ESPAÑA,0
T0000112,PERSONA_NATURAL,JUAN JUAN,HERNANDEZ SANCHEZ,1957-02-08,ARGENTINA,844610560,CC,BRASIL,0
T0000113,PERSONA_NATURAL,SARA SARA,TORRES GARCIA,1987-12-24,MEXICANA,1416434075,CE,VENEZUELA,0
T0000114,PERSONA_NATURAL,CAMILA DANIEL,HERNANDEZ PEREZ,1994-06-07,BRASILEÑA,517048031,CE,USA,0
T0000115,PERSONA_NATURAL,DAVID ANA,TORRES LOPEZ,1953-07-09,PERUANA,1831137394,CC,BRASIL,0
T0000116,PERSONA_NATURAL,LUISA DAVID,RAMIREZ PEREZ,1953-06-08,MEXICANA,G2151087,PASAPORTE,ARGENTINA,0
T0000117,PERSONA_NATURAL,LUISA LUISA,LOPEZ RODRIGUEZ,2000-10-01,ECUATORIANA,289155978,CC,ARGENTINA,0
T0000118,PERSONA_NATURAL,MARIA ANDRES,PEREZ RODRIGUEZ,1950-06-26,PERUANA,K1264762,PASAPORTE,MEXICO,0
T0000119,PERSONA_NATURAL,MARIA SARA,GARCIA TORRES,1957-12-03,BRASILEÑA,1680778865,CE,USA,0
T0000120,PERSONA_NATURAL,ANDRES LAURA,TORRES MARTINEZ,1989-01-24,ARGENTINA,993638819,CE,COLOMBIA,0
T0000121,PERSONA_NATURAL,LAURA DANIEL,GARCIA GOMEZ,1981-12-15,VENEZOLANA,701729866,CC,MEXICO,0
T0000122,PERSONA_NATURAL,CARLOS CAMILA,RAMIREZ TORRES,1995-06-13,ARGENTINA,984346441,CE,ARGENTINA,0
T0000123,PERSONA_NATURAL,ANDRES SARA,GOMEZ TORRES,1996-04-14,BRASILEÑA,898657880,CC,USA,0
T0000124,PERSONA_NATURAL,DANIEL DANIEL,GOMEZ LOPEZ,1977-06-22,ECUATORIANA,337789590,CE,BRASIL,0
T0000125,PERSONA_NATURAL,ANDRES ANDRES,GARCIA GOMEZ,1997-12-12,MEXICANA,B6530541,PASAPORTE,VENEZUELA,0
T0000126,PERSONA_NATURAL,DAVID DANIEL,PEREZ HERNANDEZ,1988-05-12,VENEZOLANA,Q4569164,PASAPORTE,MEXICO,0
T0000127,PERSONA_NATURAL,LUISA ANDRES,LOPEZ TORRES,1973-02-25,ECUATORIANA,H8199311,PASAPORTE,ARGENTINA,0
T0000128,PERSONA_JURIDICA,RAMIREZ RAMIREZ GROUP CIA 9131,,,,128189836,NIT,ECUADOR,0
T0000129,PERSONA_NATURAL,CARLOS SARA,HERNANDEZ LOPEZ,1972-01-06,MEXICANA,V7724045,PASAPORTE,VENEZUELA,0
T0000130,PERSONA_NATURAL,DAVID JUAN,GOMEZ TORRES,1963-07-14,BRASILEÑA,348033841,CE,USA,0
T0000131,PERSONA_NATURAL,ANA CAMILA,RAMIREZ GOMEZ,1953-03-06,COLOMBIANA,C5565128,PASAPORTE,BRASIL,0
T0000132,PERSONA_NATURAL,LAURA CAMILA,SANCHEZ GARCIA,1967-04-25,ARGENTINA,751253059,CC,ESPAÑA,0
T0000133,PERSONA_NATURAL,DAVID DAVID,RAMIREZ SANCHEZ,1983-11-10,COLOMBIANA,858821668,CC,COLOMBIA,0
T0000134,PERSONA_NATURAL,CARLOS LUISA,RODRIGUEZ HERNANDEZ,1968-06-04,COLOMBIANA,1614200608,CE,ESPAÑA,0
T0000135,PERSONA_NATURAL,DANIEL JORGE,MARTINEZ TORRES,1985-11-26,ESTADOUNIDENSE,862703841,CC,COLOMBIA,0
T0000136,PERSONA_NATURAL,LAURA ANDRES,LOPEZ RAMIREZ,1977-10-13,ESPAÑOLA,257332940,CE,ESPAÑA,0
T0000137,PERSONA_NATURAL,ANA MARIA,RAMIREZ SANCHEZ,2003-12-12,VENEZOLANA,1823516352,CE,VENEZUELA,0
T0000138,PERSONA_NATURAL,CAMILA DANIEL,TORRES GOMEZ,1975-05-24,ESTADOUNIDENSE,725259422,CC,MEXICO,0
T0000139,PERSONA_NATURAL,DAVID ANDRES,TORRES TORRES,1962-06-12,MEXICANA,230771045,CC,MEXICO,0
T0000140,PERSONA_NATURAL,MARIA CAMILA,RODRIGUEZ GOMEZ,1961-11-16,BRASILEÑA,Y8531380,PASAPORTE,USA,0
T0000141,PERSONA_JURIDICA,LOPEZ RODRIGUEZ LOGISTICA SAS 7692,,,,574817290,NIT,ECUADOR,0
T0000142,PERSONA_NATURAL,CAMILA JUAN,LOPEZ TORRES,1954-05-15,BRASILEÑA,132170459,CC,USA,0
T0000143,PERSONA_NATURAL,ANDRES DAVID,GOMEZ RAMIREZ,1988-09-13,BRASILEÑA,R1688246,PASAPORTE,BRASIL,0
T0000144,PERSONA_JURIDICA,RAMIREZ MARTINEZ INVERSIONES S. EN C. 7802,,,,638339044,NIT,MEXICO,0
T0000145,PERSONA_JURIDICA,SANCHEZ GOMEZ TRADING S.A. 1391,,,,641755366,NIT,MEXICO,0
T0000146,PERSONA_NATURAL,SARA LAURA,SANCHEZ TORRES,1983-10-06,ESTADOUNIDENSE,1981254252,CE,ECUADOR,0
T0000147,PERSONA_NATURAL,ANA DAVID,RAMIREZ PEREZ,2000-11-21,ESTADOUNIDENSE,718005516,CC,VENEZUELA,0
T0000148,PERSONA_NATURAL,DANIEL CARLOS,HERNANDEZ RAMIREZ,2005-03-11,VENEZOLANA,V3372774,PASAPORTE,USA,0
T0000149,PERSONA_NATURAL,DAVID SARA,GARCIA RODRIGUEZ,1988-12-03,ECUATORIANA,M6510922,PASAPORTE,MEXICO,0
T0000150,PERSONA_NATURAL,SARA DAVID,TORRES GOMEZ,1991-11-14,ARGENTINA,49149787,CE,USA,0
T0000151,PERSONA_NATURAL,LUISA ANA,SANCHEZ MARTINEZ,1964-03-05,VENEZOLANA,1823396146,CE,VENEZUELA,0
T0000152,PERSONA_NATURAL,JORGE SARA,TORRES PEREZ,1992-06-25,MEXICANA,M3587931,PASAPORTE,MEXICO,0
T0000153,PERSONA_NATURAL,SARA CAMILA,RODRIGUEZ SANCHEZ,1952-07-12,PERUANA,1321243683,CE,ECUADOR,0
T0000154,PERSONA_NATURAL,LAURA LUISA,TORRES MARTINEZ,1969-08-27,PERUANA,1466652811,CE,BRASIL,0
T0000155,PERSONA_NATURAL,CARLOS DANIEL,TORRES TORRES,1976-03-27,PERUANA,E5194357,PASAPORTE,COLOMBIA,0
T0000156,PERSONA_NATURAL,ANA JORGE,GOMEZ TORRES,2004-02-10,VENEZOLANA,595814854,CC,BRASIL,0
T0000157,PERSONA_JURIDICA,RODRIGUEZ GARCIA COMERCIAL LTDA 7401,,,,475364113,NIT,COLOMBIA,0
T0000158,PERSONA_NATURAL,DANIEL JORGE,LOPEZ MARTINEZ,1974-02-12,PERUANA,694370545,CC,VENEZUELA,0
T0000159,PERSONA_NATURAL,DAVID ANA,RODRIGUEZ RODRIGUEZ,1952-05-27,BRASILEÑA,E8870361,PASAPORTE,BRASIL,0
T0000160,PERSONA_NATURAL,ANDRES JUAN,HERNANDEZ MARTINEZ,2003-03-18,ARGENTINA,248771963,CE,ECUADOR,0
T0000161,PERSONA_NATURAL,ANDRES JUAN,MARTINEZ GARCIA,1990-10-15,VENEZOLANA,1806773184,CC,BRASIL,0
T0000162,PERSONA_NATURAL,JUAN DAVID,TORRES RAMIREZ,1965-12-05,ECUATORIANA,13359390,CE,USA,0
T0000163,PERSONA_NATURAL,DANIEL MARIA,GOMEZ TORRES,1973-02-17,ARGENTINA,Z9516493,PASAPORTE,ARGENTINA,0
T0000164,PERSONA_NATURAL,LAURA JUAN,GARCIA LOPEZ,1966-12-01,ESTADOUNIDENSE,750457726,CC,PERU,0
T0000165,PERSONA_NATURAL,DAVID ANDRES,RAMIREZ LOPEZ,1958-01-12,ARGENTINA,1756996989,CE,MEXICO,0
T0000166,PERSONA_NATURAL,DAVID LAURA,SANCHEZ RODRIGUEZ,2001-03-03,BRASILEÑA,640163133,CC,PERU,0
T0000167,PERSONA_NATURAL,LUISA JUAN,LOPEZ HERNANDEZ,1982-07-27,ARGENTINA,553987175,CE,COLOMBIA,0
T0000168,PERSONA_NATURAL,LUISA CARLOS,LOPEZ PEREZ,2005-11-11,ECUATORIANA,1726574766,CC,USA,0
T0000169,PERSONA_NATURAL,DANIEL SARA,SANCHEZ GARCIA,1971-03-16,BRASILEÑA,1994941610,CE,ARGENTINA,0
T0000170,PERSONA_NATURAL,ANDRES SARA,GARCIA GOMEZ,1977-10-27,MEXICANA,J6389033,PASAPORTE,VENEZUELA,0
T0000171,PERSONA_NATURAL,DAVID CARLOS,HERNANDEZ SANCHEZ,1988-12-14,MEXICANA,O6897979,PASAPORTE,BRASIL,0
T0000172,PERSONA_NATURAL,ANA CAMILA,GARCIA HERNANDEZ,1990-01-03,ESPAÑOLA,1111843835,CE,MEXICO,0
T0000173,PERSONA_JURIDICA,RODRIGUEZ RAMIREZ GROUP S.A.S. 580,,,,235538456,NIT,VENEZUELA,0
T0000174,PERSONA_NATURAL,DAVID ANA,LOPEZ GARCIA,1986-01-20,MEXICANA,O7223751,PASAPORTE,USA,0
T0000175,PERSONA_NATURAL,ANDRES CAMILA,RODRIGUEZ TORRES,1973-07-11,ECUATORIANA,253629051,CC,COLOMBIA,0
T0000176,PERSONA_NATURAL,LAURA JORGE,GARCIA TORRES,1957-05-25,ECUATORIANA,O4599894,PASAPORTE,ECUADOR,0
T0000177,PERSONA_NATURAL,LAURA LUISA,GOMEZ RODRIGUEZ,2004-02-15,MEXICANA,O2472884,PASAPORTE,USA,0
T0000178,PERSONA_NATURAL,SARA ANDRES,TORRES TORRES,1968-05-28,MEXICANA,W3920762,PASAPORTE,USA,0
T0000179,PERSONA_NATURAL,ANDRES LUISA,RODRIGUEZ MARTINEZ,2000-08-01,ESTADOUNIDENSE,S7189302,PASAPORTE,BRASIL,0
T0000180,PERSONA_NATURAL,JORGE MARIA,RAMIREZ GOMEZ,1954-05-13,BRASILEÑA,N7869154,PASAPORTE,VENEZUELA,0
T0000181,PERSONA_NATURAL,ANA DAVID,GOMEZ SANCHEZ,1979-11-17,ESTADOUNIDENSE,1895405071,CC,ARGENTINA,0
T0000182,PERSONA_NATURAL,MARIA MARIA,GARCIA TORRES,2005-01-27,VENEZOLANA,E6102363,PASAPORTE,MEXICO,0
T0000183,PERSONA_NATURAL,SARA LUISA,LOPEZ TORRES,1968-02-09,PERUANA,R5604524,PASAPORTE,MEXICO,0
T0000184,PERSONA_NATURAL,CAMILA JORGE,GOMEZ TORRES,1991-03-19,MEXICANA,1424618070,CC,USA,0
T0000185,PERSONA_NATURAL,CAMILA JUAN,PEREZ GOMEZ,1952-11-25,ECUATORIANA,G7989166,PASAPORTE,COLOMBIA,0
T0000186,PERSONA_NATURAL,DAVID JORGE,HERNANDEZ HERNANDEZ,1980-04-26,ESPAÑOLA,983978618,CE,VENEZUELA,0
T0000187,PERSONA_NATURAL,MARIA LAURA,GARCIA SANCHEZ,1979-04-11,MEXICANA,1860025105,CE,USA,0
T0000188,PERSONA_NATURAL,ANA DANIEL,RODRIGUEZ LOPEZ,1982-09-04,ESTADOUNIDENSE,1011742212,CC,VENEZUELA,0
T0000189,PERSONA_NATURAL,LUISA MARIA,GOMEZ PEREZ,1968-07-28,ESPAÑOLA,1868233702,CC,MEXICO,0
T0000190,PERSONA_NATURAL,CAMILA SARA,LOPEZ MARTINEZ,1998-03-16,ARGENTINA,1081078308,CE,ECUADOR,0
